started_at,conference,speakers,resolved,scanned_repos,skipped_repos,found,parked,notes
2026-06-27,DevBcn 2026,61,42,741,0,1,19,"1 found, 0 needs_review, 0 bundle(s), 98 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Devoxx Poland 2026,108,60,1011,0,15,48,"15 found, 1 needs_review, 0 bundle(s), 114 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,DevTalks 2026,165,59,763,0,0,106,"0 found, 0 needs_review, 0 bundle(s), 96 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,J-Spring 2026,36,28,388,0,35,8,"35 found, 2 needs_review, 0 bundle(s), 117 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,jPrime 2026,30,21,181,0,1,9,"1 found, 0 needs_review, 0 bundle(s), 8 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Voxxed Days Luxembourg 2026,74,36,477,0,12,38,"12 found, 0 needs_review, 0 bundle(s), 129 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Code Remix Summit 2026,41,20,289,0,0,21,"0 found, 0 needs_review, 0 bundle(s), 9 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Devoxx UK 2026,107,73,807,0,3,34,"3 found, 0 needs_review, 0 bundle(s), 75 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,GeeCON 2026,51,39,421,0,0,12,"0 found, 0 needs_review, 0 bundle(s), 46 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,JCON Slovenia 2026,65,30,200,0,1,35,"1 found, 0 needs_review, 0 bundle(s), 7 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,JJUG CCC 2026 Spring,60,17,248,0,8,43,"8 found, 6 needs_review, 0 bundle(s), 72 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,JNation 2026,54,42,434,0,13,12,"13 found, 1 needs_review, 2 bundle(s), 109 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,KotlinConf 2026,73,49,723,0,16,24,"16 found, 4 needs_review, 0 bundle(s), 52 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Devoxx Greece 2026,98,48,402,0,0,50,"0 found, 3 needs_review, 0 bundle(s), 215 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Java Day Istanbul 2026,25,15,202,0,1,10,"1 found, 0 needs_review, 0 bundle(s), 10 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,JCON EUROPE 2026,37,34,217,0,5,3,"5 found, 5 needs_review, 0 bundle(s), 22 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Spring I/O 2026,86,70,768,0,2,16,"2 found, 13 needs_review, 0 bundle(s), 86 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Voxxed Days Amsterdam 2026,87,65,444,0,0,22,"0 found, 2 needs_review, 0 bundle(s), 30 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Voxxed Days Bucharest 2026,18,13,25,0,0,5,"0 found, 0 needs_review, 0 bundle(s), 0 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,Devnexus 2026,116,81,915,0,0,35,"0 found, 1 needs_review, 0 bundle(s), 197 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,JavaLand 2026,166,86,719,0,8,80,"8 found, 1 needs_review, 0 bundle(s), 9 rejected. LLM-judged every non-bundle hit; bundles evaluated as units."
2026-06-27,JAX 2026,452,224,3099,0,98,228,"98 found, 63 needs_review, 0 bundle(s), 333 rejected. Re-applied deterministically from on-disk verdicts (orig apply hit 32k output cap; Opus recheck not re-run)."
2026-06-27,Devoxx France 2026,332,189,2531,0,14,143,"14 found, 21 needs_review, 0 bundle(s), 451 rejected. Re-applied deterministically from on-disk verdicts (orig apply hit 32k output cap; Opus recheck not re-run)."
2026-06-27,Digital Crafts Day 2026,13,6,108,0,84,7,"84 found, 11 needs_review, 0 bundle(s), 453 rejected. Re-applied deterministically from on-disk verdicts (orig apply hit 32k output cap; Opus recheck not re-run)."
